ArchiveDate,HospitalName,Adult_Child,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/11/2021,St. Vincent's University Hospital,Adult,335,0,0,0,335
25/11/2021,Tallaght University Hospital,Adult,"1,350",893,199,207,"2,648"
25/11/2021,Tipperary University Hospital,Adult,399,2,0,0,401
25/11/2021,University Hospital Kerry,Adult,501,0,0,0,501
25/11/2021,University Hospital Limerick,Adult,393,166,151,469,"1,179"
25/11/2021,University Hospital Waterford,Adult,318,78,28,33,457
25/11/2021,Wexford General Hospital,Adult,550,249,150,93,"1,041"
25/11/2021,Children's Health Ireland,Child,247,81,34,42,404
25/11/2021,Small Volume Hospitals,Child,26,6,3,4,39
23/12/2021,Bantry General Hospital,Adult,210,85,13,2,310
23/12/2021,Beaumont Hospital,Adult,722,0,0,0,722
23/12/2021,Cavan General Hospital,Adult,479,0,0,0,479
23/12/2021,Connolly Hospital Blanchardstown,Adult,658,0,0,0,658
23/12/2021,Cork University Hospital,Adult,615,183,53,15,866
23/12/2021,Ennis Hospital,Adult,345,62,71,86,563
23/12/2021,Galway University Hospitals,Adult,"1,237",259,92,48,"1,636"
23/12/2021,Letterkenny University Hospital,Adult,788,442,244,559,"2,033"
23/12/2021,Louth County Hospital,Adult,744,2,0,0,746
23/12/2021,Mallow General Hospital,Adult,102,2,2,0,105
23/12/2021,Mater Misericordiae University Hospital,Adult,852,637,492,60,"2,042"
23/12/2021,Mayo University Hospital,Adult,338,194,139,207,879
23/12/2021,Mercy University Hospital,Adult,427,19,5,17,469
23/12/2021,Midland Regional Hospital Mullingar,Adult,538,39,0,0,578
23/12/2021,Midland Regional Hospital Portlaoise,Adult,293,56,41,67,457
23/12/2021,Midland Regional Hospital Tullamore,Adult,433,84,8,0,525
23/12/2021,Naas General Hospital,Adult,305,5,2,5,317
23/12/2021,Nenagh Hospital,Adult,319,246,104,83,752
23/12/2021,Our Lady of Lourdes Hospital Drogheda,Adult,217,0,0,0,217
23/12/2021,Our Lady's Hospital Navan,Adult,257,0,0,0,257
23/12/2021,Portiuncula University Hospital,Adult,187,47,16,7,257
23/12/2021,Roscommon University Hospital,Adult,341,46,20,2,409
23/12/2021,Sligo University Hospital,Adult,677,39,0,2,718
23/12/2021,South Infirmary Victoria University Hospital,Adult,432,14,2,0,447
23/12/2021,St. Columcille's Hospital,Adult,214,36,7,40,297
23/12/2021,St. James's Hospital,Adult,"1,427",295,35,25,"1,783"
23/12/2021,St. John's Hospital Limerick,Adult,405,169,157,201,931
